,name,system,lam_ori,lam_ori_up,lam_ori_down,lambda,lambda_up,lambda_down,lambda_ref_link,vsini,vsini_up,vsini_down,teff,teff_up,teff_down,mstar,mstar_up,mstar_down,rstar,rstar_up,rstar_down,period,period_up,period_down,ar,ar_up,ar_down,mplanet,mplanet_up,mplanet_down,rplanet,rplanet_up,rplanet_down,ecc,ecc_up,ecc_down,age,age_up,age_down,prot_lit,prot_lit_up,prot_lit_down,prot_lit_ref_link,istar_lit,istar_lit_up,istar_lit_down,istar_lit_ref_link,psi_lit,psi_lit_up,psi_lit_down,psi_lit_ref_link,psi_lit_flag,psi_lit_comment
20,HAT-P-24b,HAT-P-24,20.0,16.0,16.0,20.0,16.0,16.0,https://ui.adsabs.harvard.edu/abs/2012ApJ...757...18A,11.199999809265137,0.8999999761581421,0.8999999761581421,6373,80,80,1.185999999999999,0.042,0.041,1.294,0.07099999999999901,0.062,3.355,0.0,0.0,7.712686368607467,0.43259501641325204,0.380281699556119,0.681,0.031,0.029999999999999003,1.243,0.07199999999999901,0.060999999999999006,0.0,0.037999999999999,0.0,2.799999952316284,0.600000023841857,0.600000023841857,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0,
21,HAT-P-2b,HAT-P-2,0.20000000298023202,12.199999809265137,12.5,0.20000000298023202,12.199999809265137,12.5,https://ui.adsabs.harvard.edu/abs/2008A&A...481..529L,19.5,1.399999976158142,1.399999976158142,6290,60,60,1.278999999999999,0.04599999999999901,0.04599999999999901,1.679999999999999,0.14999999999999902,0.14999999999999902,5.633,0.0,0.0,8.627381327530006,0.777248363109665,0.777248363109665,8.74,0.27,0.27,1.189999999999999,0.12,0.12,0.5083299999999991,0.000819999999999,0.00075,2.599999904632568,0.5,0.5,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0,
22,HAT-P-30b,HAT-P-30,73.5,9.0,9.0,73.5,9.0,9.0,https://ui.adsabs.harvard.edu/abs/2011ApJ...735...24J,3.069999933242797,0.23999999463558103,0.23999999463558103,6338,42,42,1.242,0.041,0.041,1.215,0.050999999999999004,0.050999999999999004,2.810999999999999,0.0,0.0,7.415938581864822,0.32362115808469605,0.32362115808469605,0.7109999999999991,0.028,0.028,1.34,0.065,0.065,0.0,0.016,0.0,1.0,0.8000000119209281,0.5,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0,
23,HAT-P-32b,HAT-P-32,85.0,1.5,1.5,85.0,1.5,1.5,https://ui.adsabs.harvard.edu/abs/2012ApJ...757...18A,20.600000381469727,1.5,1.5,6269,64,64,1.181999999999999,0.049,0.049,1.225,0.017,0.017,2.149999999999999,0.0,0.0,6.052844931036564,0.118978644990542,0.118978644990542,0.8,0.14,0.14,1.806999999999999,0.025999999999999003,0.025999999999999003,0.0,0.043999999999999005,0.0,2.7,0.8,0.8,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0,
24,HAT-P-34b,HAT-P-34,0.0,14.0,14.0,0.0,14.0,14.0,https://ui.adsabs.harvard.edu/abs/2012ApJ...757...18A,24.299999237060547,1.200000047683715,1.200000047683715,6442,88,88,1.391999999999999,0.047,0.047,1.534999999999999,0.135,0.10199999999999901,5.453,0.0,0.0,9.48437393235922,0.841626250704385,0.640119729772412,3.327999999999999,0.21099999999999902,0.21099999999999902,1.197,0.128,0.09199999999999901,0.432,0.029,0.027,1.7000000000000002,0.4,0.5,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0,
25,HAT-P-36b,HAT-P-36,-14.0,18.0,18.0,14.0,18.0,18.0,https://ui.adsabs.harvard.edu/abs/2015A&A...579A.136M,3.119999885559082,0.75,0.75,5620,40,40,1.03,0.042,0.042,1.040999999999999,0.016,0.016,1.327,0.0,0.0,4.933009732287486,0.10058996639436,0.10058996639436,1.852,0.095,0.095,1.304,0.025,0.025,0.0,0.058999999999999005,0.0,6.599999999999999,2.899999999999999,1.8,15.300000190734863,0.40000000596046403,0.40000000596046403,https://ui.adsabs.harvard.edu/abs/2015A&A...579A.136M,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0.0,63.0,0.0,https://ui.adsabs.harvard.edu/abs/2015A&A...579A.136M,0,
26,HAT-P-3b,HAT-P-3,21.200000762939453,8.699999809265137,8.699999809265137,21.200000762939453,8.699999809265137,8.699999809265137,https://ui.adsabs.harvard.edu/abs/arXiv:1802.03859,1.200000047683715,0.360000014305114,0.360000014305114,5190,80,80,0.925,0.044999999999999006,0.044999999999999006,0.8499999999999991,0.023,0.023,2.899999999999999,0.0,0.0,9.811089971044002,0.31228228241829004,0.31228228241829004,0.5949999999999991,0.024,0.024,0.911,0.034,0.034,0.0,0.01,0.0,2.599999904632568,0.600000023841857,0.600000023841857,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0,
27,HAT-P-41b,HAT-P-41,-22.100000381469727,0.8000000119209281,6.0,22.100000381469727,6.0,0.8000000119209281,https://ui.adsabs.harvard.edu/abs/2017AJ....154..137J,19.600000381469727,0.5,0.5,6390,100,100,1.417999999999999,0.047,0.047,1.683,0.058,0.035999999999999005,2.694,0.0,0.0,5.443194617220092,0.19816572546567202,0.132808078912488,0.8,0.10199999999999901,0.10199999999999901,1.685,0.07599999999999901,0.050999999999999004,0.0,0.22,0.0,2.2,0.4,0.4,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0,
28,HAT-P-4b,HAT-P-4,-4.900000095367431,11.899999618530273,11.899999618530273,4.900000095367431,11.899999618530273,11.899999618530273,https://ui.adsabs.harvard.edu/abs/2011AJ....141...63W,5.829999923706054,0.300000011920928,0.300000011920928,6036,46,46,1.270999999999999,0.12,0.07,1.6,0.116,0.041,3.056999999999999,0.0,0.0,6.001086128900971,0.474024458921294,0.18919285257173002,0.68,0.04599999999999901,0.029,1.337,0.079,0.035,0.0,0.007300000000000001,0.0,4.199999809265136,2.599999904632568,0.600000023841857,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0,
29,HAT-P-56b,HAT-P-56,8.0,2.0,2.0,8.0,2.0,2.0,https://ui.adsabs.harvard.edu/abs/2016MNRAS.460.3376Z,36.400001525878906,0.699999988079071,0.699999988079071,6566,50,50,1.296,0.035999999999999005,0.035999999999999005,1.427999999999999,0.029999999999999003,0.029999999999999003,2.790999999999999,0.0,0.0,6.370016235896652,0.146144165511104,0.146144165511104,2.18,0.25,0.25,1.466,0.04,0.04,0.0,0.28999999999999904,0.0,2.009999999999999,0.34999999999999903,0.34999999999999903,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0.0,0.0,0.0,https://ui.adsabs.harvard.edu/abs/-,0,
